round,seed,condition,algorithm,selection_mode,selection_budget,candidate_agent_ids,selected_agent_ids
0,41,standard,fedadagrad,error_low,4,0;1;2;3;4;5;6;7,1;2;3;7
1,41,standard,fedadagrad,error_low,4,0;1;2;3;4;5;6;7,0;2;6;7
2,41,standard,fedadagrad,error_low,4,0;1;2;3;4;5;6;7,3;4;5;6
3,41,standard,fedadagrad,error_low,4,0;1;2;3;4;5;6;7,0;1;3;6
4,41,standard,fedadagrad,error_low,4,0;1;2;3;4;5;6;7,1;3;6;7
5,41,standard,fedadagrad,error_low,4,0;1;2;3;4;5;6;7,1;2;3;7
6,41,standard,fedadagrad,error_low,4,0;1;2;3;4;5;6;7,1;4;6;7
7,41,standard,fedadagrad,error_low,4,0;1;2;3;4;5;6;7,1;4;5;7
8,41,standard,fedadagrad,error_low,4,0;1;2;3;4;5;6;7,1;4;5;7
9,41,standard,fedadagrad,error_low,4,0;1;2;3;4;5;6;7,1;2;4;7
10,41,standard,fedadagrad,error_low,4,0;1;2;3;4;5;6;7,1;2;6;7
11,41,standard,fedadagrad,error_low,4,0;1;2;3;4;5;6;7,1;5;6;7
12,41,standard,fedadagrad,error_low,4,0;1;2;3;4;5;6;7,1;4;6;7
13,41,standard,fedadagrad,error_low,4,0;1;2;3;4;5;6;7,2;4;5;7
14,41,standard,fedadagrad,error_low,4,0;1;2;3;4;5;6;7,1;4;6;7
15,41,standard,fedadagrad,error_low,4,0;1;2;3;4;5;6;7,2;5;6;7
16,41,standard,fedadagrad,error_low,4,0;1;2;3;4;5;6;7,1;2;5;7
17,41,standard,fedadagrad,error_low,4,0;1;2;3;4;5;6;7,1;4;5;7
18,41,standard,fedadagrad,error_low,4,0;1;2;3;4;5;6;7,1;4;5;7
19,41,standard,fedadagrad,error_low,4,0;1;2;3;4;5;6;7,1;5;6;7
20,41,standard,fedadagrad,error_low,4,0;1;2;3;4;5;6;7,1;4;5;7
21,41,standard,fedadagrad,error_low,4,0;1;2;3;4;5;6;7,1;4;5;7
22,41,standard,fedadagrad,error_low,4,0;1;2;3;4;5;6;7,1;5;6;7
23,41,standard,fedadagrad,error_low,4,0;1;2;3;4;5;6;7,1;3;4;7
24,41,standard,fedadagrad,error_low,4,0;1;2;3;4;5;6;7,1;4;5;7
25,41,standard,fedadagrad,error_low,4,0;1;2;3;4;5;6;7,1;5;6;7
26,41,standard,fedadagrad,error_low,4,0;1;2;3;4;5;6;7,1;4;5;7
27,41,standard,fedadagrad,error_low,4,0;1;2;3;4;5;6;7,1;4;5;7
28,41,standard,fedadagrad,error_low,4,0;1;2;3;4;5;6;7,1;2;4;5
29,41,standard,fedadagrad,error_low,4,0;1;2;3;4;5;6;7,1;4;5;7
30,41,standard,fedadagrad,error_low,4,0;1;2;3;4;5;6;7,1;2;4;5
31,41,standard,fedadagrad,error_low,4,0;1;2;3;4;5;6;7,1;4;5;7
32,41,standard,fedadagrad,error_low,4,0;1;2;3;4;5;6;7,1;2;6;7
33,41,standard,fedadagrad,error_low,4,0;1;2;3;4;5;6;7,1;4;5;6
34,41,standard,fedadagrad,error_low,4,0;1;2;3;4;5;6;7,1;2;5;7
35,41,standard,fedadagrad,error_low,4,0;1;2;3;4;5;6;7,1;4;5;7
36,41,standard,fedadagrad,error_low,4,0;1;2;3;4;5;6;7,1;4;5;7
37,41,standard,fedadagrad,error_low,4,0;1;2;3;4;5;6;7,1;4;5;7
38,41,standard,fedadagrad,error_low,4,0;1;2;3;4;5;6;7,1;4;5;7
39,41,standard,fedadagrad,error_low,4,0;1;2;3;4;5;6;7,1;4;5;7
40,41,standard,fedadagrad,error_low,4,0;1;2;3;4;5;6;7,1;4;5;7
41,41,standard,fedadagrad,error_low,4,0;1;2;3;4;5;6;7,1;3;4;5
