round,seed,condition,algorithm,selection_mode,selection_budget,agent_id,selection_score,selected_for_aggregation
0,41,standard,fedadagrad,random,4,0,0.0,0
0,41,standard,fedadagrad,random,4,1,1.0,1
0,41,standard,fedadagrad,random,4,2,0.0,0
0,41,standard,fedadagrad,random,4,3,0.0,0
0,41,standard,fedadagrad,random,4,4,1.0,1
0,41,standard,fedadagrad,random,4,5,0.0,0
0,41,standard,fedadagrad,random,4,6,1.0,1
0,41,standard,fedadagrad,random,4,7,1.0,1
1,41,standard,fedadagrad,random,4,0,1.0,1
1,41,standard,fedadagrad,random,4,1,0.0,0
1,41,standard,fedadagrad,random,4,2,0.0,0
1,41,standard,fedadagrad,random,4,3,0.0,0
1,41,standard,fedadagrad,random,4,4,1.0,1
1,41,standard,fedadagrad,random,4,5,0.0,0
1,41,standard,fedadagrad,random,4,6,1.0,1
1,41,standard,fedadagrad,random,4,7,1.0,1
2,41,standard,fedadagrad,random,4,0,1.0,1
2,41,standard,fedadagrad,random,4,1,1.0,1
2,41,standard,fedadagrad,random,4,2,0.0,0
2,41,standard,fedadagrad,random,4,3,1.0,1
2,41,standard,fedadagrad,random,4,4,0.0,0
2,41,standard,fedadagrad,random,4,5,0.0,0
2,41,standard,fedadagrad,random,4,6,0.0,0
2,41,standard,fedadagrad,random,4,7,1.0,1
3,41,standard,fedadagrad,random,4,0,0.0,0
3,41,standard,fedadagrad,random,4,1,1.0,1
3,41,standard,fedadagrad,random,4,2,1.0,1
3,41,standard,fedadagrad,random,4,3,0.0,0
3,41,standard,fedadagrad,random,4,4,1.0,1
3,41,standard,fedadagrad,random,4,5,1.0,1
3,41,standard,fedadagrad,random,4,6,0.0,0
3,41,standard,fedadagrad,random,4,7,0.0,0
4,41,standard,fedadagrad,random,4,0,1.0,1
4,41,standard,fedadagrad,random,4,1,0.0,0
4,41,standard,fedadagrad,random,4,2,0.0,0
4,41,standard,fedadagrad,random,4,3,0.0,0
4,41,standard,fedadagrad,random,4,4,0.0,0
4,41,standard,fedadagrad,random,4,5,1.0,1
4,41,standard,fedadagrad,random,4,6,1.0,1
4,41,standard,fedadagrad,random,4,7,1.0,1
5,41,standard,fedadagrad,random,4,0,1.0,1
5,41,standard,fedadagrad,random,4,1,0.0,0
5,41,standard,fedadagrad,random,4,2,0.0,0
5,41,standard,fedadagrad,random,4,3,0.0,0
5,41,standard,fedadagrad,random,4,4,1.0,1
5,41,standard,fedadagrad,random,4,5,1.0,1
5,41,standard,fedadagrad,random,4,6,0.0,0
5,41,standard,fedadagrad,random,4,7,1.0,1
6,41,standard,fedadagrad,random,4,0,1.0,1
6,41,standard,fedadagrad,random,4,1,0.0,0
6,41,standard,fedadagrad,random,4,2,1.0,1
6,41,standard,fedadagrad,random,4,3,0.0,0
6,41,standard,fedadagrad,random,4,4,0.0,0
6,41,standard,fedadagrad,random,4,5,0.0,0
6,41,standard,fedadagrad,random,4,6,1.0,1
6,41,standard,fedadagrad,random,4,7,1.0,1
7,41,standard,fedadagrad,random,4,0,0.0,0
7,41,standard,fedadagrad,random,4,1,1.0,1
7,41,standard,fedadagrad,random,4,2,0.0,0
7,41,standard,fedadagrad,random,4,3,0.0,0
7,41,standard,fedadagrad,random,4,4,1.0,1
7,41,standard,fedadagrad,random,4,5,0.0,0
7,41,standard,fedadagrad,random,4,6,1.0,1
7,41,standard,fedadagrad,random,4,7,1.0,1
8,41,standard,fedadagrad,random,4,0,0.0,0
8,41,standard,fedadagrad,random,4,1,0.0,0
8,41,standard,fedadagrad,random,4,2,0.0,0
8,41,standard,fedadagrad,random,4,3,1.0,1
8,41,standard,fedadagrad,random,4,4,0.0,0
8,41,standard,fedadagrad,random,4,5,1.0,1
8,41,standard,fedadagrad,random,4,6,1.0,1
8,41,standard,fedadagrad,random,4,7,1.0,1
9,41,standard,fedadagrad,random,4,0,1.0,1
9,41,standard,fedadagrad,random,4,1,1.0,1
9,41,standard,fedadagrad,random,4,2,0.0,0
