round,seed,condition,algorithm,selection_mode,selection_budget,candidate_agent_ids,selected_agent_ids
0,41,standard,fedadagrad,random,4,0;1;2;3;4;5;6;7,1;4;6;7
1,41,standard,fedadagrad,random,4,0;1;2;3;4;5;6;7,0;4;6;7
2,41,standard,fedadagrad,random,4,0;1;2;3;4;5;6;7,0;1;3;7
3,41,standard,fedadagrad,random,4,0;1;2;3;4;5;6;7,1;2;4;5
4,41,standard,fedadagrad,random,4,0;1;2;3;4;5;6;7,0;5;6;7
5,41,standard,fedadagrad,random,4,0;1;2;3;4;5;6;7,0;4;5;7
6,41,standard,fedadagrad,random,4,0;1;2;3;4;5;6;7,0;2;6;7
7,41,standard,fedadagrad,random,4,0;1;2;3;4;5;6;7,1;4;6;7
8,41,standard,fedadagrad,random,4,0;1;2;3;4;5;6;7,3;5;6;7
9,41,standard,fedadagrad,random,4,0;1;2;3;4;5;6;7,0;1;5;6
10,41,standard,fedadagrad,random,4,0;1;2;3;4;5;6;7,0;3;5;6
11,41,standard,fedadagrad,random,4,0;1;2;3;4;5;6;7,1;3;4;6
12,41,standard,fedadagrad,random,4,0;1;2;3;4;5;6;7,1;4;5;7
13,41,standard,fedadagrad,random,4,0;1;2;3;4;5;6;7,2;3;6;7
14,41,standard,fedadagrad,random,4,0;1;2;3;4;5;6;7,0;1;3;5
15,41,standard,fedadagrad,random,4,0;1;2;3;4;5;6;7,0;3;6;7
16,41,standard,fedadagrad,random,4,0;1;2;3;4;5;6;7,0;1;3;6
17,41,standard,fedadagrad,random,4,0;1;2;3;4;5;6;7,1;2;4;5
18,41,standard,fedadagrad,random,4,0;1;2;3;4;5;6;7,1;2;5;7
19,41,standard,fedadagrad,random,4,0;1;2;3;4;5;6;7,0;3;4;7
20,41,standard,fedadagrad,random,4,0;1;2;3;4;5;6;7,1;3;6;7
21,41,standard,fedadagrad,random,4,0;1;2;3;4;5;6;7,1;2;6;7
22,41,standard,fedadagrad,random,4,0;1;2;3;4;5;6;7,0;4;5;7
23,41,standard,fedadagrad,random,4,0;1;2;3;4;5;6;7,1;2;4;7
24,41,standard,fedadagrad,random,4,0;1;2;3;4;5;6;7,0;1;3;4
25,41,standard,fedadagrad,random,4,0;1;2;3;4;5;6;7,0;2;5;6
26,41,standard,fedadagrad,random,4,0;1;2;3;4;5;6;7,1;4;6;7
27,41,standard,fedadagrad,random,4,0;1;2;3;4;5;6;7,0;3;5;6
28,41,standard,fedadagrad,random,4,0;1;2;3;4;5;6;7,3;5;6;7
29,41,standard,fedadagrad,random,4,0;1;2;3;4;5;6;7,3;4;6;7
30,41,standard,fedadagrad,random,4,0;1;2;3;4;5;6;7,1;3;6;7
31,41,standard,fedadagrad,random,4,0;1;2;3;4;5;6;7,1;2;4;7
32,41,standard,fedadagrad,random,4,0;1;2;3;4;5;6;7,0;1;2;4
33,41,standard,fedadagrad,random,4,0;1;2;3;4;5;6;7,2;3;6;7
34,41,standard,fedadagrad,random,4,0;1;2;3;4;5;6;7,1;2;5;7
35,41,standard,fedadagrad,random,4,0;1;2;3;4;5;6;7,0;1;5;6
36,41,standard,fedadagrad,random,4,0;1;2;3;4;5;6;7,1;2;4;5
37,41,standard,fedadagrad,random,4,0;1;2;3;4;5;6;7,0;1;6;7
38,41,standard,fedadagrad,random,4,0;1;2;3;4;5;6;7,0;2;6;7
39,41,standard,fedadagrad,random,4,0;1;2;3;4;5;6;7,0;3;4;7
40,41,standard,fedadagrad,random,4,0;1;2;3;4;5;6;7,1;3;5;6
41,41,standard,fedadagrad,random,4,0;1;2;3;4;5;6;7,3;4;5;6
42,41,standard,fedadagrad,random,4,0;1;2;3;4;5;6;7,2;4;5;7
43,41,standard,fedadagrad,random,4,0;1;2;3;4;5;6;7,1;2;6;7
44,41,standard,fedadagrad,random,4,0;1;2;3;4;5;6;7,0;2;3;5
45,41,standard,fedadagrad,random,4,0;1;2;3;4;5;6;7,1;2;3;5
46,41,standard,fedadagrad,random,4,0;1;2;3;4;5;6;7,0;4;6;7
47,41,standard,fedadagrad,random,4,0;1;2;3;4;5;6;7,2;5;6;7
48,41,standard,fedadagrad,random,4,0;1;2;3;4;5;6;7,0;2;3;7
49,41,standard,fedadagrad,random,4,0;1;2;3;4;5;6;7,2;4;6;7
50,41,standard,fedadagrad,random,4,0;1;2;3;4;5;6;7,0;3;5;7
51,41,standard,fedadagrad,random,4,0;1;2;3;4;5;6;7,1;2;3;5
52,41,standard,fedadagrad,random,4,0;1;2;3;4;5;6;7,0;3;4;5
53,41,standard,fedadagrad,random,4,0;1;2;3;4;5;6;7,2;3;5;7
54,41,standard,fedadagrad,random,4,0;1;2;3;4;5;6;7,0;1;3;5
